[2024-10-10 12:44:45,519]::2730006395::DEBUG::=============face_key_point+2D Video Vision Transformer Strat!=============
[2024-10-10 15:46:49,976]::3947538980::DEBUG::Epoch: 35 , 1-MAE: 0.8972 , 1-Training Loss: 0.9455 , 1-val_avg_o_loss:0.8982 , 1-val_avg_c_loss:0.8903 , 1-val_avg_e_loss:0.9057 , 1-val_avg_a_loss:0.8922 , 1-val_avg_n_loss:0.8996
[2024-10-10 15:52:00,434]::3947538980::DEBUG::Epoch: 36 , 1-MAE: 0.8972 , 1-Training Loss: 0.9469 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8903 , 1-val_avg_e_loss:0.9033 , 1-val_avg_a_loss:0.8963 , 1-val_avg_n_loss:0.8996
[2024-10-10 15:57:09,438]::3947538980::DEBUG::Epoch: 37 , 1-MAE: 0.8970 , 1-Training Loss: 0.9476 , 1-val_avg_o_loss:0.8960 , 1-val_avg_c_loss:0.8923 , 1-val_avg_e_loss:0.9014 , 1-val_avg_a_loss:0.8964 , 1-val_avg_n_loss:0.8988
[2024-10-10 16:02:25,130]::3947538980::DEBUG::Epoch: 38 , 1-MAE: 0.8965 , 1-Training Loss: 0.9486 , 1-val_avg_o_loss:0.8934 , 1-val_avg_c_loss:0.8912 , 1-val_avg_e_loss:0.9030 , 1-val_avg_a_loss:0.8965 , 1-val_avg_n_loss:0.8984
[2024-10-10 16:07:34,392]::3947538980::DEBUG::Epoch: 39 , 1-MAE: 0.8944 , 1-Training Loss: 0.9495 , 1-val_avg_o_loss:0.8934 , 1-val_avg_c_loss:0.8933 , 1-val_avg_e_loss:0.9041 , 1-val_avg_a_loss:0.8820 , 1-val_avg_n_loss:0.8990
[2024-10-10 16:12:45,437]::3947538980::DEBUG::Epoch: 40 , 1-MAE: 0.8914 , 1-Training Loss: 0.9486 , 1-val_avg_o_loss:0.8905 , 1-val_avg_c_loss:0.8796 , 1-val_avg_e_loss:0.8985 , 1-val_avg_a_loss:0.8933 , 1-val_avg_n_loss:0.8951
[2024-10-10 16:18:01,034]::3947538980::DEBUG::Epoch: 41 , 1-MAE: 0.8990 , 1-Training Loss: 0.9502 , 1-val_avg_o_loss:0.8991 , 1-val_avg_c_loss:0.8917 , 1-val_avg_e_loss:0.9075 , 1-val_avg_a_loss:0.8952 , 1-val_avg_n_loss:0.9017
[2024-10-10 16:23:10,834]::3947538980::DEBUG::Epoch: 42 , 1-MAE: 0.8985 , 1-Training Loss: 0.9498 , 1-val_avg_o_loss:0.8982 , 1-val_avg_c_loss:0.8938 , 1-val_avg_e_loss:0.9059 , 1-val_avg_a_loss:0.8964 , 1-val_avg_n_loss:0.8984
[2024-10-10 16:28:25,336]::3947538980::DEBUG::Epoch: 43 , 1-MAE: 0.8995 , 1-Training Loss: 0.9504 , 1-val_avg_o_loss:0.8970 , 1-val_avg_c_loss:0.8952 , 1-val_avg_e_loss:0.9069 , 1-val_avg_a_loss:0.8957 , 1-val_avg_n_loss:0.9026
[2024-10-10 16:33:37,516]::3947538980::DEBUG::Epoch: 44 , 1-MAE: 0.8970 , 1-Training Loss: 0.9509 , 1-val_avg_o_loss:0.8935 , 1-val_avg_c_loss:0.8917 , 1-val_avg_e_loss:0.9049 , 1-val_avg_a_loss:0.8959 , 1-val_avg_n_loss:0.8990
